Targeted Security,Equivalent Security,Equivalent Rank
Dimensional International Core Equity 2 ETF (DFIC),iShares Core MSCI EAFE ETF (IEFA),9
Dimensional International Core Equity 2 ETF (DFIC),Schwab International Equity ETF (SCHF),10
Dimensional International Core Equity 2 ETF (DFIC),SPDR Portfolio Developed World ex-US ETF (SPDW),11
Dimensional International Core Equity 2 ETF (DFIC),Vanguard FTSE All-World ex-US ETF (VEU),12
Dimensional International Core Equity 2 ETF (DFIC),Vanguard Total International Stock Index Fund (VTIAX),13
Dimensional International Core Equity 2 ETF (DFIC),Vanguard Developed Markets Index Fund (VTMGX),14
Dimensional International Core Equity 2 ETF (DFIC),Vanguard Total International Stock ETF (VXUS),15
Dimensional International Value ETF (DFIV),Avantis International Large Cap Value ETF (AVIV),1
Dimensional International Value ETF (DFIV),DFA International Value Portfolio III (DFVIX),2
Dimensional International Value ETF (DFIV),DFA International Small Cap Value Portfolio (DISVX),3
Dimensional International Value ETF (DFIV),iShares MSCI International Value Factor ETF (IVLU),4
Dimensional Global Sustainability Fixed Income ETF (DFSB),DFA Global Sustainability Fixed Income Portfolio (DGSFX),1
Dimensional International Sustainability Core 1 ETF (DFSI),DFA International Sustainability Core 1 Portfolio (DFSPX),1
Dimensional US Sustainability Core 1 ETF (DFSU),DFA US Sustainability Targeted Value Portfolio (DAABX),1
Dimensional US Sustainability Core 1 ETF (DFSU),DFA US Sustainability Core 1 Portfolio (DFSIX),2
Dimensional US Marketwide Value ETF (DFUV),Avantis US Large Cap Value ETF (AVLV),1
Dimensional US Marketwide Value ETF (DFUV),DFA US Targeted Value Portfolio (DFFVX),2
Dimensional US Marketwide Value ETF (DFUV),DFA US Large Cap Value Portfolio (DFLVX),3
Dimensional US Marketwide Value ETF (DFUV),Dimensional US Large Cap Value Portfolio III (DFUVX),4
Dimensional US Marketwide Value ETF (DFUV),iShares Russell 1000 Value ETF (IWD),5
Dimensional US Marketwide Value ETF (DFUV),State Street SPDR Portfolio S&P 500 Value ETF (SPYV),6
Dimensional US Marketwide Value ETF (DFUV),iShares MSCI USA Value Factor ETF (VLUE),7
Dimensional US Marketwide Value ETF (DFUV),Vanguard Value ETF (VTV),8
Dimensional International High Profitability ETF (DIHP),DFA International High Relative Profitability Portfolio (DIHRX),1
Dimensional International High Profitability ETF (DIHP),iShares MSCI International Quality Factor ETF (IQLT),2
WisdomTree US MidCap Dividend Fund (DON),ProShares S&P Midcap 400 Dividend Aristocrats ETF (REGL),1
WisdomTree US MidCap Dividend Fund (DON),State Street SPDR S&P Dividend ETF (SDY),2
DFA International Social Core Equity Portfolio (DSCLX),DFA International Sustainability Core 1 Portfolio (DFSPX),1
Dimensional US High Profitability ETF (DUHP),DFA US High Relative Profitability Portfolio (DURPX),1
Dimensional US High Profitability ETF (DUHP),iShares MSCI USA Quality Factor ETF (QUAL),2
iShares ESG Aware U.S. Aggregate Bond ETF (EAGG),DFA Global Sustainability Fixed Income Portfolio (DGSFX),1
iShares MSCI Emerging Markets ex China ETF (EMXC),Columbia EM Core ex-China ETF (XCEM),1
iShares ESG Aware MSCI EAFE ETF (ESGD),DFA International Sustainability Core 1 Portfolio (DFSPX),1
Fidelity Money Market Portfolio (FMPXX),Fidelity Government Portfolio (FIGXX),1
Fidelity Money Market Portfolio (FNSXX),Fidelity Government Portfolio (FRGXX),1
State Street SPDR Nuveen ICE High Yield Municipal Bond ETF (HYMB),VanEck High Yield Muni ETF (HYD),1
State Street SPDR Nuveen ICE High Yield Municipal Bond ETF (HYMB),Nuveen High Yield Municipal Bond Fund (NHMRX),2
