ModelAggregate,SortOrder
GLOBAL EQUITY,1
ALL CAP,2
LARGE CAP,3
MID CAP,4
SMALL CAP,5
INT'L DEVELOPED,6
INTL DEVELOPED,6
INTL ADR,7
INT'L ADR,7
EMERGING MARKETS,8
NON TRADITIONAL,9
INTERVAL FUNDS,10
FIXED INCOME,11
